scenario;variable;answer_unbalanced;answer_balanced
3;food-opponent;0;0
3;food-opponent;0;0
3;food-opponent;0;-1
3;food-opponent;0;0
3;food-opponent;0;0
3;food-opponent;0;0
3;food-opponent;0;0
3;food-opponent;0;0
3;food-opponent;0;0
3;food-opponent;0;0
3;food-opponent;-1;0
3;food-opponent;0;0
3;food-opponent;0;0
3;food-opponent;-1;0
3;food-opponent;0;0
3;food-opponent;-1;0
3;food-opponent;0;0
3;food-opponent;0;0
3;food-opponent;1;0
3;food-opponent;0;0
3;food-opponent;0;-1
3;food-opponent;-1;-1
3;food-opponent;-1;0
