scenario;variable;answer_unbalanced;answer_balanced
3;water-opponent;1;1
3;water-opponent;1;1
3;water-opponent;1;0
3;water-opponent;1;1
3;water-opponent;1;1
3;water-opponent;0;0
3;water-opponent;1;2
3;water-opponent;1;1
3;water-opponent;0;0
3;water-opponent;0;0
3;water-opponent;-1;0
3;water-opponent;1;1
3;water-opponent;0;0
3;water-opponent;0;0
3;water-opponent;1;1
3;water-opponent;1;1
3;water-opponent;2;2
3;water-opponent;1;0
3;water-opponent;0;0
3;water-opponent;1;1
3;water-opponent;1;1
3;water-opponent;1;2
3;water-opponent;2;1
